2025-11-26 17:27:37 [INFO] __main__: ============================================================
2025-11-26 17:27:37 [INFO] __main__: SMART IRRIGATION SYSTEM - TINKERCAD TO THINGSBOARD BRIDGE
2025-11-26 17:27:37 [INFO] __main__: ============================================================
2025-11-26 17:27:37 [INFO] __main__: Started at: 2025-11-26 17:27:37
2025-11-26 17:27:37 [INFO] __main__: Log file: C:\Users\krzor\Desktop\irrigation last bridge\logs\bridge_22360.log
2025-11-26 17:27:37 [INFO] __main__: ============================================================
2025-11-26 17:27:37 [INFO] __main__: Starting Smart Irrigation Bridge...
2025-11-26 17:27:37 [INFO] __main__: Initializing components...
2025-11-26 17:27:37 [INFO] thingsboard_client: ThingsBoard client initialized: https://eu.thingsboard.cloud
2025-11-26 17:27:37 [INFO] thingsboard_client: Telemetry endpoint: https://eu.thingsboard.cloud/api/v1/9CHMtFJbaOCWB7p96XmC/telemetry
2025-11-26 17:27:37 [INFO] data_processor: Data processor initialized
2025-11-26 17:27:37 [INFO] thingsboard_client: Testing ThingsBoard connection...
2025-11-26 17:27:38 [INFO] thingsboard_client: ✓ ThingsBoard connection successful
2025-11-26 17:27:38 [INFO] __main__: Starting browser automation...
2025-11-26 17:27:38 [INFO] browser_automation: TinkerCAD automation initialized
2025-11-26 17:27:38 [INFO] browser_automation: Navigating to TinkerCAD...
2025-11-26 17:27:38 [INFO] browser_automation: Circuit URL: https://www.tinkercad.com/things/hTrSolRa4D1-smooth-jaiks-borwo/editel?returnTo=https%3A%2F%2Fwww.tinkercad.com%2Fdashboard%2Fdesigns%2Fcircuits&sharecode=WyCaIdMpHj_ctZyKmGF_-gRhH7uQz4xmHD_nGaFIFyM
2025-11-26 17:27:41 [INFO] browser_automation: Attempting login...
2025-11-26 17:27:48 [INFO] browser_automation: Waiting for login to complete...
2025-11-26 17:27:53 [INFO] browser_automation: Navigating to circuit after login...
2025-11-26 17:27:57 [INFO] browser_automation: ✓ Login successful and navigated to circuit
2025-11-26 17:27:57 [INFO] browser_automation: Setting up simulation environment...
2025-11-26 17:28:03 [INFO] browser_automation: ✓ Simulation setup complete
2025-11-26 17:28:03 [INFO] __main__: Opening ThingsBoard dashboard...
2025-11-26 17:28:04 [INFO] __main__: ✓ Dashboard opened: https://eu.thingsboard.cloud/dashboards/all/6e1fdde0-a387-11f0-89a6-d5955492b887
2025-11-26 17:28:04 [INFO] browser_automation: Serial monitor initialized
2025-11-26 17:28:04 [INFO] __main__: ============================================================
2025-11-26 17:28:04 [INFO] __main__: BRIDGE ACTIVE - Monitoring serial output...
2025-11-26 17:28:04 [INFO] __main__: Press Ctrl+C to stop
2025-11-26 17:28:04 [INFO] __main__: ============================================================
2025-11-26 17:28:19 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:28:24 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:28:28 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:28:35 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:28:42 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:28:45 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:28:55 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:28:59 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:29:07 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:29:14 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:29:22 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:29:30 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:29:34 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:29:38 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:29:43 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:29:50 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:29:55 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:30:00 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:30:05 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:30:11 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:30:15 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:30:26 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:30:31 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:30:36 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:31:18 [INFO] browser_automation: Simulation reset detected
2025-11-26 17:31:41 [INFO] browser_automation: Simulation reset detected
